Sample,Condition,CellLine,AspectRatio
1,Random,Bone Clone,3.32232280368998
1,Random,Bone Clone,1.21833605394501
1,Random,Bone Clone,1.50497053943866
1,Random,Bone Clone,1.36672061401731
1,Random,Bone Clone,1.32133887517777
1,Random,Bone Clone,1.13456560625155
1,Random,Bone Clone,1.69308181792227
1,Random,Bone Clone,1.1430191199078
1,Random,Bone Clone,1.12709444659671
1,Random,Bone Clone,1.44885525044979
1,Random,Bone Clone,1.3059181343616
1,Random,Bone Clone,1.59191856724396
1,Random,Bone Clone,1.19802656110115
1,Random,Bone Clone,1.63330747338177
1,Random,Bone Clone,3.0721542529841
1,Random,Bone Clone,1.1941730354709
1,Random,Bone Clone,1.19411040275346
1,Random,Bone Clone,1.79303754161179
1,Random,Bone Clone,1.3959374943055
1,Random,Bone Clone,1.56826976548694
1,Random,Bone Clone,1.37946189042788
1,Random,Bone Clone,1.19212252051616
1,Random,Bone Clone,1.61513689106051
1,Random,Bone Clone,1.77153558500886
1,Random,Bone Clone,1.68162870918334
1,Random,Bone Clone,1.66452162567968
1,Random,Bone Clone,1.48484988766661
1,Random,Bone Clone,1.3913084491434
1,Random,Bone Clone,1.22062837411494
1,Random,Bone Clone,1.2079277197508
1,Random,Bone Clone,1.21818195499926
1,Random,Bone Clone,1.35612137776459
1,Random,Bone Clone,1.33179629925484
1,Random,Bone Clone,1.36683427432295
1,Random,Bone Clone,1.30105995277922
1,Random,Bone Clone,1.44485266417509
1,Random,Bone Clone,1.71617930404284
1,Random,Bone Clone,1.67877939792425
1,Random,Bone Clone,1.46836916136859
1,Random,Bone Clone,1.3200261002004
1,Random,Bone Clone,1.49188224802228
1,Random,Bone Clone,2.15718742962251
1,Random,Bone Clone,1.28051075387345
1,Random,Bone Clone,1.98463502174433
1,Random,Bone Clone,1.83057205732607
1,Random,Bone Clone,1.47392066855593
1,Random,Bone Clone,1.10086533398776
1,Random,Bone Clone,1.34000864095652
1,Random,Bone Clone,1.63739008401882
1,Random,Bone Clone,1.24144579651428
1,Random,Bone Clone,1.18753171196355
1,Random,Bone Clone,1.30021264591025
1,Random,Bone Clone,1.10818188588761
1,Random,Bone Clone,1.67887664357826
1,Random,Bone Clone,3.29660120596616
1,Random,Bone Clone,4.64683743896404
1,Random,Bone Clone,1.70704270219769
1,Random,Bone Clone,1.19346429476434
1,Random,Bone Clone,1.3404649326197
1,Random,Bone Clone,2.39378138705677
1,Random,Bone Clone,2.63202036707722
1,Random,Bone Clone,1.68416806818204
1,Random,Bone Clone,1.64526492453329
1,Random,Bone Clone,1.15187122191028
1,Random,Bone Clone,3.26357698686823
1,Random,Bone Clone,1.31556366688345
1,Random,Bone Clone,2.84556365394143
1,Random,Bone Clone,1.48980201108136
1,Random,Bone Clone,1.66481244192107
1,Random,Bone Clone,1.93982571832601
1,Random,Bone Clone,2.62981261922303
1,Random,Bone Clone,2.30504613520779
1,Random,Bone Clone,1.24704450031918
1,Random,Bone Clone,1.26351114849824
1,Random,Bone Clone,1.39735103773826
1,Random,Bone Clone,1.28884964004658
1,Random,Bone Clone,1.2805777838468
1,Random,Bone Clone,2.98156199315494
1,Random,Bone Clone,3.02908171367365
1,Random,Bone Clone,1.70601116547172
1,Random,Bone Clone,2.52094038059378
1,Random,Bone Clone,2.08073328946667
1,Random,Bone Clone,1.26865530489063
1,Random,Bone Clone,1.30392996849664
1,Random,Bone Clone,1.11697242126842
1,Random,Bone Clone,1.27270392921569
1,Random,Bone Clone,1.17624907477653
1,Random,Bone Clone,1.1695404415606
1,Random,Bone Clone,2.80369857249386
1,Random,Bone Clone,1.42499519072283
1,Random,Bone Clone,1.18591619706209
1,Random,Bone Clone,2.11803561720655
1,Random,Bone Clone,1.22848296866467
1,Random,Bone Clone,1.59804265001648
1,Random,Bone Clone,2.50043942318889
1,Random,Bone Clone,1.6637196056777
1,Random,Bone Clone,2.09399841463465
1,Random,Bone Clone,2.18641957073128
1,Random,Bone Clone,1.42408656928403
1,Random,Bone Clone,1.31920394938433
1,Random,Bone Clone,1.87611471797154
1,Random,Bone Clone,2.05514081648727
1,Random,Bone Clone,1.81933273624426
1,Random,Bone Clone,1.37979148453543
1,Random,Bone Clone,1.88998651337065
1,Random,Bone Clone,1.63161184543422
1,Random,Bone Clone,2.7377504377633
1,Random,Bone Clone,1.13983054290588
1,Random,Bone Clone,1.71353116888308
1,Random,Bone Clone,1.1292364696361
1,Random,Bone Clone,1.12506265177711
1,Random,Bone Clone,2.16425290542405
1,Random,Bone Clone,1.34397577913955
1,Random,Bone Clone,2.18595423692863
1,Random,Bone Clone,3.00132049420462
1,Random,Bone Clone,1.38781675601492
1,Random,Bone Clone,1.47632055514608
1,Random,Bone Clone,1.36142523707369
1,Random,Bone Clone,1.54166441756384
1,Random,Bone Clone,1.56140901396418
1,Random,Bone Clone,1.28867158314088
1,Random,Bone Clone,1.34348328363741
1,Random,Bone Clone,1.80873418970706
1,Random,Bone Clone,1.23964279540199
1,Random,Bone Clone,1.59389012746706
