Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,397.222836095764,8.59484346224678,543,155.836107459858,1.81512465807125,36.4178655307313,20.0635616781433
Alive,2,629.213276836158,11.2387005649718,708,203.189620776389,1.54783660197323,37.9769185574288,24.5354829502123
Dead,3,30.9527619047619,31.1927619047619,2625,753.351348217545,1.11737920443064,61.4781600810564,55.0199608488171
Alive,4,716.163608562691,11.7607033639144,1308,375.384214654685,4.91327942813707,91.3183966933514,18.5860377023124
Alive,5,1249.52895752896,30.5467181467181,1295,371.653331787322,2.40774783933009,64.0182473366196,26.5884351720285
Alive,6,243.979369842461,64.0007501875469,2666,765.117978799228,4.27630900981821,122.993033563657,28.761493447099
Dead,7,725.243047158404,72.1499395405079,827,237.341548562251,1.15281786003135,34.9465063082941,30.3139875950082
Alive,8,758.594594594595,68.5689900426743,703,201.754665827403,2.32053168426227,46.4996743540456,20.0383708050203
Alive,9,878.478374836173,77.8938401048493,763,218.974125215233,3.15964203821607,58.334299900672,18.4623128807361
Alive,10,693.660909090909,99.8136363636364,1100,315.690088776876,2.08482661112268,54.2876684031963,26.0394164740454
Alive,11,1286.55504587156,125.13876146789,872,250.256143103123,2.18100622676356,50.3088863281313,23.0668237948067
Dead,12,82.8001618122977,122.964401294498,1236,354.72086338929,1.05820424512519,40.8785451329144,38.6301088104955
Alive,13,870.152197802198,124.926923076923,1820,522.323601430831,4.59846166713325,103.572179294347,22.5232233715489
Alive,14,368.566535433071,148.725196850394,2540,728.957114084786,1.78680555290906,76.6473962854902,42.8963275610501
Alive,15,29.4255162241888,147.393805309735,1356,389.159782164949,3.15424790882609,79.9012100647171,25.3313031740913
Alive,16,722.693163751987,152.474562798092,2516,722.069330329654,4.7638663103948,125.428910109865,26.3292254520614
Dead,17,655.844660194175,177.579750346741,721,206.920503643752,1.06211566280555,31.4556965774932,29.6160744813834
Alive,18,112.431818181818,178.332070707071,792,227.296863919351,1.41188829928784,37.9158539372751,26.854712200958
Dead,19,631.223546944858,184.992548435171,671,192.570954153894,1.13263934041698,31.3695182167011,27.6959461827915
Alive,20,369.22602739726,201.489236790607,2044,586.609583145395,2.4530824076013,81.6546463628507,33.2865484297754
Alive,21,244.172263927301,199.644804425128,2531,726.374195176612,3.63064415020644,112.783371542024,31.0642869077684
Dead,22,306.879240162822,213.067842605156,737,211.512359480507,1.07322481009677,31.8720166566296,29.6974281220315
Alive,23,657.02265625,218.36484375,1280,367.348466940365,1.25853415813602,45.5001814790788,36.153314699434
Alive,24,980.703432609793,219.492932862191,3962,1137.05830157635,4.80066275277692,157.785969265688,32.8675387943921
Dead,25,860.941821247892,220.798482293423,1186,340.371313899432,1.0742288699292,40.4134144765563,37.6208605147801
Alive,26,269.988717562994,249.237683339601,2659,763.109041870648,2.99953314017155,104.868823070516,34.9617150969426
Alive,27,907.300168634064,256.088251826869,1779,510.556970849147,5.01318419997253,110.363178622687,22.014586781649
Alive,28,19.6629766297663,267.977859778598,1626,466.647349410182,1.5101847432527,58.6437450420314,38.832166265779
Alive,29,566.537438768369,303.571728481456,1429,410.110124420142,2.94870269208531,73.9893606329175,25.0921738673466
Dead,30,799.654285714286,296.14693877551,2450,703.127925003042,1.17195473392668,60.7466501557811,51.8336147269503
Alive,31,539.467823571945,310.608098336949,1383,396.908538889472,1.58152512367956,53.3365186339653,33.7247368602487
Alive,32,55.1739961759082,298.728489483748,523,150.096287663915,3.65533433535591,50.7141561798784,13.8740130251151
Alive,33,1021.94200743494,302.551672862454,1345,386.00288127718,3.90727382383104,82.6837820658968,21.161501802509
Dead,34,440.064297800338,317.255499153976,1182,339.223349940243,1.05583592147677,39.9400132802283,37.827859867057
Alive,35,94.1185795814838,336.027901077996,1577,452.584790910121,2.50162768895366,71.6501478126353,28.6414114014719
Alive,36,260.750911300122,353.551640340219,823,236.193584603063,1.31846762899176,37.1996592040594,28.2143136365859
Alive,37,1215.8613683896,366.453241708993,3347,960.558842851094,2.85770207007376,115.114822558047,40.2823036605335
Alive,38,548.197782963827,358.986581096849,1714,491.902556512332,4.01992051104203,93.9246347638011,23.3647990067978
Alive,39,926.32269893656,366.079574624129,2727,782.624429176855,5.33819643199537,138.839599892233,26.0087094322859
Alive,40,56.0546129374337,366.972428419936,1886,541.265006757444,1.73090693982987,65.2790519649865,37.7137848736124
Alive,41,445.972425436128,383.700619020822,1777,509.982988869553,3.22234977926208,87.181455862877,27.0552428615747
Dead,42,1037.92515831894,392.101899827288,1737,498.503349277667,1.04227434421571,48.0859299426886,46.1355786118599
Alive,43,70.9775461106656,414.822774659182,1247,357.877764277058,5.14342210645541,95.663544018581,18.5992014729873
Alive,44,1061.07091808686,426.824079164376,1819,522.036610441034,2.76177676054418,82.6051833811604,29.9101594890979
Alive,45,378.473776223776,419.323426573427,1144,328.317692327951,2.84494365514295,64.9531545787001,22.8310864650275
Dead,46,569.955302366345,441.132340052585,1141,327.456719358559,1.17533432139737,41.4054479431526,35.2286555317512
Alive,47,811.288629737609,439.341836734694,1372,393.751638001703,2.71522087161609,71.2501007318614,26.2409962580516
Dead,48,1156.14613970588,446.144301470588,1088,312.24619689931,1.12696620691669,39.7151013627996,35.2407207235235
Dead,49,777.541727672035,452.844802342606,683,196.01484603146,1.16465280254295,31.9394397289429,27.4240010921753
Alive,50,847.151694915254,460.812288135593,2360,677.298735921297,3.51845554566962,107.442659655832,30.5368813848076
Alive,51,640.483023992757,465.829787234043,2209,633.963096461926,1.84098074495902,74.5512567768525,40.4954027797352
Alive,52,275.294185377087,459.4363845711,1737,498.503349277667,4.21056968464281,97.2899620227327,23.1061279849085
Alive,53,1105.3775862069,475.489655172414,1740,499.364322247058,1.31539612673289,58.0124598456007,44.1026536923816
Alive,54,1250.72839506173,461.508417508417,891,255.708971909269,1.20609958024899,37.1915742459894,30.8362384458432
Alive,55,1213.63094128611,461.877912395154,1073,307.941332052353,1.77190538372195,49.5977774452256,27.9912109872615
Alive,56,1187.81291973137,496.503677646306,3127,897.420825095719,4.12901844183369,132.740533732281,32.1482055849891
Alive,57,537.547169811321,483.145797598628,1166,334.631494103488,1.2399692399029,43.1160846995938,34.771898618203
Alive,58,191.595470921256,506.416366443644,1943,557.623493175882,2.13331953978061,74.0801523259076,34.7252959270818
Alive,59,229.449162011173,510.28938547486,895,256.856935868458,2.09142010986946,49.4194961732979,23.6296361214498
Alive,60,268.81592920354,512.76814159292,1130,324.299818470791,2.67504163784161,63.2847381065703,23.6574777795355
Alive,61,922.000811030008,536.267639902676,2466,707.719780839796,4.61745051850711,126.648406372426,27.4282108416342
Alive,62,1153.96554364472,563.437212863706,1306,374.810232675091,2.22454529012124,62.2219192965977,27.9706237373152
Alive,63,330.478206724782,564.402864259029,1606,460.907529614239,2.50082818401693,71.8929628076767,28.747661781466
Alive,64,807.352724594993,593.091310751105,1358,389.733764144543,5.35641281601103,97.6393504730071,18.2284961646627
Dead,65,266.410104986877,578.891732283465,1524,437.374268450872,1.16432401663611,48.0671297982794,41.2832932340877
Alive,66,458.144230769231,573.039663461538,1664,477.553007022474,3.0642298323395,82.7786979187328,27.0145199439992
Alive,67,1159.91024390244,587.074146341463,1025,294.165764542089,1.52425014956598,45.6079893552544,29.9215908676414
Alive,68,1045.52033730159,593.481646825397,2016,578.573835431074,1.43959683775576,67.2976335269976,46.7475558170234
Dead,69,1117.17219387755,590.914540816327,784,225.000936000973,1.15808831015301,34.0928659775558,29.4389172903848
Alive,70,743.674317617866,600.452853598015,1612,462.629475553022,4.36522811450589,95.3405691867481,21.8409133923439
Alive,71,549.069462647444,639.076015727392,1526,437.948250430466,2.47703981048235,72.767676778765,29.3768701136035
Alive,72,721.155208333333,630.01875,960,275.511350205274,4.50555140928204,75.0179909669133,16.6501242916386
Alive,73,92.6971005552128,629.974090067859,1621,465.212394461196,4.35479769089004,96.1221456246072,22.0727006045972
Alive,74,1217.33272394881,663.490859232175,1094,313.968142838093,4.66712179198307,93.6158975842209,20.0585932308493
Dead,75,689.101725703906,644.613079019074,1101,315.977079766673,1.18775857759567,40.9302584613885,34.4600824051651
Alive,76,94.2035858877964,656.842105263158,1729,496.20742135929,2.23793458215177,73.0266428981669,32.6312679023674
Alive,77,219.801261829653,667.922397476341,1585,454.880718828498,2.1792652148088,66.8937109876291,30.6955346843812
Alive,78,599.482683982684,666.361471861472,1848,530.359349145152,2.33973248291525,75.1973983727575,32.1393146104735
Alive,79,583.114540466392,692.534979423868,2916,836.865726248518,2.95410370769692,105.602786288094,35.7478263247651
Alive,80,1187.26126954922,685.623735050598,1087,311.959205909513,2.16723748104889,58.9995380476574,27.2233839454932
Alive,81,451.798268398268,698.366233766234,1155,331.47459321572,2.20377321675474,58.90112488666,26.7273984631673
Alive,82,530.684466019418,697.549514563107,1030,295.600719491075,2.15321778762256,54.4603341860467,25.292534038639
Alive,83,1015.17884130982,713.729219143577,2382,683.612537696835,2.16354173103391,82.3018559144994,38.0403367006787
Alive,84,1097.53088480801,701.272120200334,599,171.907602888499,1.24462955840377,31.10546933173,24.9917488474422
Alive,85,672.203680468423,716.93851944793,2391,686.195456605009,3.50411032352508,107.276812192956,30.6145646935674
Alive,86,1140.39805097451,710.889805097451,1334,382.845980389411,1.47681972382401,55.8859264530865,37.8420775071842
Alive,87,783.862569832402,721.808379888268,1790,513.713871736916,1.84320510827781,67.002484079812,36.3510733444177
Alive,88,1176.27810650888,728.226824457594,1521,436.51329548148,1.36138132655276,52.9215467103947,38.8734189886392
Alive,89,1204.43264248705,715.566062176166,772,221.557044123407,1.63238652350836,40.556035678521,24.8446278466923
Alive,90,632.52549965541,735.461061337009,2902,832.847852391358,5.82293636136116,150.576617614281,25.8592243276865
Alive,91,1109.1103843009,726.550286181521,1223,350.989980521927,1.46946934775979,48.6739354504229,33.1234778899107
Alive,92,901.424315619968,727.743156199678,1242,356.442809328073,2.93232790724571,70.8051116271709,24.1463826239259
Alive,93,1221.18639262934,747.654145995748,1411,404.944286603793,2.07509674097954,61.433276358711,29.6050179953112
Alive,94,856.425692695214,757.989084802687,1191,341.806268848417,1.55576718550897,48.7714649698554,31.3488196846752
Alive,95,1172.88044338876,761.465558194774,1263,362.469620113813,2.7314072982398,66.6490249903257,24.4009837102202
Alive,96,377.780123131047,770.676341248901,1137,326.308755399371,1.27229050587577,43.0696454368122,33.852052843203
Alive,97,164.747655583973,777.623188405797,1173,336.640431032069,1.22982651096573,42.9752485280106,34.9441552485838
Alive,98,442.405,780.444166666667,1200,344.389187756592,1.27263187193187,44.8881898724141,35.2719359481962
Alive,99,881.613105924596,781.760323159785,1114,319.707962634036,2.24783085207009,58.3334830971139,25.9510109683712
Dead,100,409.623137598598,786.023663453111,1141,327.456719358559,1.17152838705327,41.3615974254556,35.3056723870701
Alive,101,806.617443868739,797.211571675302,1158,332.335566185111,1.23054686151644,42.7215258898346,34.7175123726598
Alive,102,901.059530311305,807.644456581103,1831,525.4805023186,2.77964822097793,84.3585810877384,30.3486536357682
Alive,103,15.7634560906516,817.429178470255,706,202.615638796795,1.79851393183706,44.312161779174,24.6382087982562
Alive,104,851.751131221719,813.438914027149,884,253.700034980689,2.02315341309892,47.8765830856003,23.6643364638703
