Class,Number,CentroidX,CentroidY,Area,ActualArea,AspectRatio,MajorAxisLength,MinorAxisLength
Alive,1,365.968085106383,10.4460992907801,1410,404.657295613995,4.11832617098915,88.5637048347092,21.5047815927211
Alive,2,994.115459882583,9.77886497064579,511,146.652395786349,1.37783166703726,30.538210842373,22.1639635471865
Alive,3,544.780359028511,34.1626187961985,1894,543.560934675821,1.31164546407714,58.179289047564,44.355956423406
Alive,4,296.18085106383,25.1547388781431,1034,296.748683450263,2.00106617072494,52.0548312866162,26.013548201536
Alive,5,803.943781942078,92.5826235093697,2348,673.854844043732,4.51980005550584,121.670260506199,26.919390019916
Alive,6,469.583619702176,108.803550973654,1746,501.086268185841,1.73204411282853,63.2041250011997,36.4910596289513
Dead,7,674.753300903405,99.4398888116748,1439,412.980034318113,1.17954880611982,46.8322998557562,39.7035710712245
Dead,8,1248.91137123746,98.5083612040134,1196,343.241223797403,1.09453262962287,40.9675441849444,37.4292580012531
Alive,9,604.563636363636,156.033702882483,2255,647.164681992596,2.25802436194694,85.7611491570403,37.9806128766008
Alive,10,842.47082276187,161.573758608191,2759,791.808140850364,2.4967755186213,107.780289354053,43.1677932398057
Alive,11,1120.95869947276,157.920035149385,1138,326.595746389168,1.29594051831749,43.4233155968026,33.5071826083337
Alive,12,517.66592178771,192.343016759777,895,256.856935868458,3.03344842946723,59.7601605863114,19.7004043338252
Alive,13,1286.47261663286,209.588235294118,493,141.48655797,1.26446506348777,28.5880706184989,22.6088260118824
Dead,14,381.848598130841,225.128037383178,1070,307.080359082961,1.09786256179757,38.7480557648132,35.2940860842996
Alive,15,482.215982721382,229.565874730022,926,265.75365655217,1.64478927426615,44.8535684042526,27.270100252973
Alive,16,132.813362782993,268.916620651574,1811,519.740682522657,1.959815617731,68.0262135506023,34.7105171196465
Alive,17,629.386597938144,274.579037800687,1164,334.057512123894,1.73452503782945,51.9272066482236,29.9374212050605
Alive,18,768.310788518641,301.952161002969,3031,869.869690075192,1.31924646664272,72.8107639980234,55.1911760531869
Alive,19,532.526139410188,320.359919571046,1492,428.190556777363,3.73072356165769,89.9644686411715,24.114482661159
Dead,20,971.203983516484,300.151098901099,1456,417.858881144665,1.18826254498597,47.7836870225092,40.2130717863142
Dead,21,598.34914950761,301.112802148612,1117,320.568935603428,1.05195205199267,38.8173771025268,36.9003292773627
Alive,22,1037.56572769953,307.830399061033,1704,489.03264661436,1.77101074824902,64.4581279803356,36.3962375971263
Alive,23,400.818433544304,331.817642405063,2528,725.51322220722,2.53457937955715,95.434908632722,37.6531543665429
Alive,24,844.912790697674,326.849563953488,2752,789.799203921784,3.56294927480968,125.712505807306,35.2832712764404
Dead,25,214.650813516896,310.09887359199,799,229.305800847931,1.10992857210055,33.6426402048401,30.3106353422103
Alive,26,1073.3378238342,336.463212435233,2895,830.838915462778,4.89392911118567,142.548383442184,29.1275946593448
Alive,27,725.994230769231,340.746153846154,1560,447.705944083569,1.63970824740643,57.6031638204907,35.1301299554986
Alive,28,908.323699421965,354.949132947977,865,248.247206174543,2.62450296578446,55.3509500812456,21.0900695494933
Alive,29,886.8669527897,385.165665236051,1165,334.344503113691,2.25666823264529,59.5764674107793,26.400188804423
Alive,30,890.46986417657,432.027589134126,2356,676.150771962109,2.03804382894864,80.2652420754018,39.383472001585
Alive,31,456.14142461964,449.787690179806,2892,829.977942493387,2.64686021075766,109.358713031868,41.3163916203054
Alive,32,827.683136899365,455.60199456029,2206,633.102123492535,1.47831952883786,80.5565782408845,54.491993557179
Alive,33,577.598187311178,443.673111782477,1655,474.9700881143,3.2993346590231,86.9923161945429,26.3666239363243
Dead,34,1187.3381294964,448.511819116136,973,279.242233072637,1.1614146430819,38.0070962218525,32.724829541496
Alive,35,490.930287329251,482.848798869524,2123,609.28187133937,2.40870566377342,83.5153781058349,34.6723052807547
Alive,36,646.768298368298,458.897435897436,2145,615.595673114908,2.2312777430604,78.8807360575326,35.3522712727553
Alive,37,312.590860786397,499.239107332625,941,270.058521399127,1.37516677550255,40.7377663581134,29.6238733249106
Dead,38,838.044303797468,500.879746835443,474,136.033729163854,1.09640319987003,25.8233261941922,23.5527643455011
Alive,39,894.084022038567,553.005509641873,1452,416.710917185476,8.25818632857711,127.373235204602,15.4238751871985
Alive,40,382.943462897527,514.006183745583,1132,324.873800450385,1.48401520704901,46.7596877710309,31.5089006830417
Alive,41,349.6171875,518.839285714286,896,257.143926858255,1.2222061762643,38.0312835462024,31.1169132383587
Alive,42,1054.22326807229,551.996611445783,2656,762.248068901257,2.18216051782298,88.7713497193815,40.680485690367
Alive,43,940.125470514429,584.654328732748,1594,457.463637736673,3.11404642979924,84.7171559650242,27.2048467724632
Alive,44,111.193117178612,595.3606370876,3516,1009.06032012681,1.41545341119834,79.9773055814053,56.5029586623381
Alive,45,486.796486090776,584.171303074671,1366,392.02969206292,1.53571596704089,53.1437296437637,34.6051814165637
Alive,46,834.346466541588,631.467166979362,1599,458.898592685659,2.5170398909032,73.5688033991735,29.2283025251438
